LoB,회사명,연,월,기준일,위험지표,자산총계,매출액
IM3,HL만도,2021,12,2021-12-31,0,0,0
IM3,HL만도,2022,9,2022-09-30,1,4.07186E+12,1.87186E+12
IM3,대웅제약,2017,12,2017-12-31,0,1.05352E+12,0
IM3,대웅제약,2018,12,2018-12-31,0,1.07631E+12,0
IM3,대웅제약,2019,12,2019-12-31,0,1.09998E+12,0
IM3,대웅제약,2020,12,2020-12-31,1,1.18674E+12,0
IM3,대웅제약,2021,12,2021-12-31,1,1.25966E+12,0
IM3,대웅제약,2022,9,2022-09-30,0,1.35807E+12,0
IM3,한국항공우주,2017,12,2017-12-31,3,3.1646E+12,2.07225E+12
IM3,한국항공우주,2018,12,2018-12-31,3,3.735E+12,2.78611E+12
IM3,한국항공우주,2019,12,2019-12-31,4,4.32E+12,3.10862E+12
IM3,한국항공우주,2020,12,2020-12-31,1,5.114E+12,2.81197E+12
IM3,한국항공우주,2021,12,2021-12-31,3,5.79463E+12,2.54832E+12
IM3,한국항공우주,2022,9,2022-09-30,4,6.05197E+12,1.91078E+12
IM3,한올바이오파마,2017,12,2017-12-31,1,1.68615E+11,84230756083
IM3,한올바이오파마,2018,12,2018-12-31,1,1.62247E+11,91839350940
IM3,한올바이오파마,2019,12,2019-12-31,1,1.91071E+11,1.08452E+11
IM3,한올바이오파마,2020,12,2020-12-31,2,2.1986E+11,88602270090
IM3,한올바이오파마,2021,12,2021-12-31,1,1.98274E+11,1.01594E+11
IM3,한올바이오파마,2022,9,2022-09-30,1,1.86222E+11,79878900882
IM3,한진,2017,12,2017-12-31,1,1.92177E+12,1.61178E+12
IM3,한진,2018,12,2018-12-31,2,2.14951E+12,1.71622E+12
IM3,한진,2019,12,2019-12-31,1,2.4749E+12,1.81171E+12
IM3,한진,2020,12,2020-12-31,0,2.7346E+12,1.92815E+12
IM3,한진,2021,12,2021-12-31,0,2.81274E+12,2.15571E+12
IM3,한진,2022,9,2022-09-30,0,2.85036E+12,1.80621E+12
IM4,SIMPAC,2017,12,2017-12-31,1,3.43005E+11,2.0315E+11
IM4,SIMPAC,2018,12,2018-12-31,4,6.28334E+11,2.68864E+11
IM4,SIMPAC,2019,12,2019-12-31,1,6.08693E+11,3.91971E+11
IM4,SIMPAC,2020,12,2020-12-31,0,6.56622E+11,2.72087E+11
IM4,SIMPAC,2021,12,2021-12-31,3,7.9676E+11,4.90855E+11
IM4,SIMPAC,2022,9,2022-09-30,1,8.32369E+11,3.95015E+11
IM4,극동유화,2017,12,2017-12-31,0,2.61352E+11,3.616E+11
IM4,극동유화,2018,12,2018-12-31,0,2.71488E+11,8.29437E+11
IM4,극동유화,2019,12,2019-12-31,0,2.80637E+11,7.92464E+11
IM4,극동유화,2020,12,2020-12-31,0,2.63578E+11,6.17375E+11
IM4,극동유화,2021,12,2021-12-31,1,2.95977E+11,9.56174E+11
IM4,극동유화,2022,9,2022-09-30,3,3.14064E+11,8.95596E+11
IM4,선진,2017,12,2017-12-31,1,5.77742E+11,6.94135E+11
IM4,선진,2018,12,2018-12-31,4,7.80045E+11,7.46427E+11
IM4,선진,2019,12,2019-12-31,4,7.60692E+11,7.79406E+11
IM4,선진,2020,12,2020-12-31,1,8.06056E+11,9.29637E+11
IM4,선진,2021,12,2021-12-31,1,8.18686E+11,1.16929E+12
IM4,선진,2022,9,2022-09-30,4,1.00596E+12,1.02898E+12
IM4,케이씨씨,2017,12,2017-12-31,1,9.20734E+12,3.42649E+12
IM4,케이씨씨,2018,12,2018-12-31,1,8.65958E+12,3.34734E+12
IM4,케이씨씨,2019,12,2019-12-31,2,9.19957E+12,2.3966E+12
IM4,케이씨씨,2020,12,2020-12-31,0,8.76532E+12,2.07185E+12
IM4,케이씨씨,2021,12,2021-12-31,0,8.81037E+12,2.28659E+12
IM4,케이씨씨,2022,9,2022-09-30,2,8.57062E+12,1.9687E+12
IM4,팜스코,2017,12,2017-12-31,1,6.61084E+11,9.87089E+11
IM4,팜스코,2018,12,2018-12-31,3,7.97653E+11,9.33107E+11
IM4,팜스코,2019,12,2019-12-31,6,8.40753E+11,9.59178E+11
IM4,팜스코,2020,12,2020-12-31,2,7.81015E+11,1.1623E+12
IM4,팜스코,2021,12,2021-12-31,4,8.55525E+11,1.32293E+12
IM4,팜스코,2022,9,2022-09-30,4,1.18065E+12,1.20016E+12
